Date,GDP,Economic growth rate
2016-12-23,453268,2.6
2016-12-24,453268,2.6
2016-12-25,453268,2.6
2016-12-26,453268,2.6
2016-12-27,453268,2.6
2016-12-28,453268,2.6
2016-12-29,453268,2.6
2016-12-30,453268,2.6
2016-12-31,453268,2.6
2017-01-01,433086,3.1
2017-01-02,433086,3.1
2017-01-03,433086,3.1
2017-01-04,433086,3.1
2017-01-05,433086,3.1
2017-01-06,433086,3.1
2017-01-07,433086,3.1
2017-01-08,433086,3.1
2017-01-09,433086,3.1
2017-01-10,433086,3.1
2017-01-11,433086,3.1
2017-01-12,433086,3.1
2017-01-13,433086,3.1
2017-01-14,433086,3.1
2017-01-15,433086,3.1
2017-01-16,433086,3.1
2017-01-17,433086,3.1
2017-01-18,433086,3.1
2017-01-19,433086,3.1
2017-01-20,433086,3.1
2017-01-21,433086,3.1
2017-01-22,433086,3.1
2017-01-23,433086,3.1
2017-01-24,433086,3.1
2017-01-25,433086,3.1
2017-01-26,433086,3.1
2017-01-27,433086,3.1
2017-01-28,433086,3.1
2017-01-29,433086,3.1
2017-01-30,433086,3.1
2017-01-31,433086,3.1
2017-02-01,433086,3.1
2017-02-02,433086,3.1
2017-02-03,433086,3.1
2017-02-04,433086,3.1
2017-02-05,433086,3.1
2017-02-06,433086,3.1
2017-02-07,433086,3.1
2017-02-08,433086,3.1
2017-02-09,433086,3.1
2017-02-10,433086,3.1
2017-02-11,433086,3.1
2017-02-12,433086,3.1
2017-02-13,433086,3.1
2017-02-14,433086,3.1
2017-02-15,433086,3.1
2017-02-16,433086,3.1
2017-02-17,433086,3.1
2017-02-18,433086,3.1
2017-02-19,433086,3.1
2017-02-20,433086,3.1
2017-02-21,433086,3.1
2017-02-22,433086,3.1
2017-02-23,433086,3.1
2017-02-24,433086,3.1
2017-02-25,433086,3.1
2017-02-26,433086,3.1
2017-02-27,433086,3.1
2017-02-28,433086,3.1
2017-03-01,433086,3.1
2017-03-02,433086,3.1
2017-03-03,433086,3.1
