date,Export amount,Export growth rate,Import amount,Import growth rate
2015-12-05,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-06,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-07,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-08,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-09,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-10,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-11,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-12,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-13,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-14,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-15,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-16,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-17,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-18,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-19,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-20,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-21,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-22,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-23,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-24,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-25,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-26,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-27,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-28,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-29,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-30,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-31,"42,379,843",-14.3,"35,462,311",-19.2
2016-01-01,"40,257,000",11.0,"37,645,403",20.2
2016-01-02,"40,257,000",11.0,"37,645,403",20.2
2016-01-03,"40,257,000",11.0,"37,645,403",20.2
2016-01-04,"40,257,000",11.0,"37,645,403",20.2
2016-01-05,"40,257,000",11.0,"37,645,403",20.2
2016-01-06,"40,257,000",11.0,"37,645,403",20.2
2016-01-07,"40,257,000",11.0,"37,645,403",20.2
2016-01-08,"40,257,000",11.0,"37,645,403",20.2
2016-01-09,"40,257,000",11.0,"37,645,403",20.2
2016-01-10,"40,257,000",11.0,"37,645,403",20.2
